CATEGORIA_GENERAL,CATEGORIA_ID,LISTADO_MARCAS,LISTADO_TALLES,LISTADO_PRECIOS,PESO_PROMEDIO,RECARGO_MENOR,GENERAR_HTML,HTML,ICONO
ACCESORIO,Cinturon,CASTFER,"Surtido,80,85,90,95,100,105,110,115,120,125,130, Unico","Docena,Menor",,,FALSE,,858a0a11
ACCESORIO,Mochila,"MOVEGO, BAIDEBAG, SM","Surtido,Unico","Docena,Menor",,,FALSE,,eb5e855c
ACCESORIO,Termo,STANLEY,"Surtido,Unico","Docena,Menor",,,FALSE,,4099ecee
INDUMENTARIA,Bermuda,"LIONESA, YD, HENGLUMAO, SAFIRA, ELT, I-RUN, ZARAMAN, CASTFER, KAPURAL, THALUF","Surtido,36,38,40,42,43,44,46,48,50,52,54,56,58,60,62","Caja,Docena, Media-Docena,Curva,Menor",,,FALSE,,7d152472
INDUMENTARIA,Buzo,CASTFER,"Surtido,3XL,2XL,XL,L,M,S","Caja,Docena, Media-Docena,Curva,Menor",,,FALSE,,4e03771f
INDUMENTARIA,Camisa,"YD, SMART ONLY, CASTFER, SAN DIEGO, EJECUTIVO, ZARAMAN, AMANCH, RICHMEND","Surtido,S,M,L,XL,XXL,3XL,4XL,5XL,6XL,7XL,8XL,9XL,10XL","Caja,Docena, Media-Docena,Curva,Menor",,,FALSE,,80faed7f
INDUMENTARIA,Campera,"DDS, DDS, HHP, AOXITE, YD, LYD, SSJ, ELT, CLEBER, T.MILL, COLUMBIA, GRAN ORIENTE, LGGDSS, T MILL, I-RUN, SM, SPORT, CASTFER, SAFIRA, EDITH, XXFG, OUTDOOR, ICON, GELUFEI, HENGLUMAO, MARFINO, STAR ROAD","Surtido,XS,S,M,L,XL,2XL,3XL,4XL,5XL,6XL,7XL,8XL,2,4,6,7,8,9,10,12,14,16,18","Caja,Docena,Media-Docena,Curva,Menor,Combo",,,FALSE,,73a4fd47
INDUMENTARIA,Chaleco,"YD, TWIX, T.MILL, CASTFER, EDITH, VVLREN","Surtido,S,M,L,XL,2XL,3XL,4XL,5XL,6XL","Caja,Docena, Media-Docena,Curva,Menor",,,FALSE,/appsheet/data/CASTFERSYSTEMV1-201513855/DOCUMENTOS-PDF/CATALOGO-AGRUPADO/INDUMENTARIA/Chaleco.html,dcc50f96
INDUMENTARIA,Chomba,"TOMMY HILFIGER, I-RUN, SSJ, POLO, VERSAGE, SPORT","Surtido,S,M,L,XL,2XL,3XL,4XL,5XL,6XL,7XL","Caja,Docena, Media-Docena,Curva,Menor",,,FALSE,,0a0e22fb
INDUMENTARIA,Joggers,"LIONESA, CASTFER, I-RUN, YD, ELT, HENGLUMAO, GELUFEI, VOGUE","Surtido,38,40,42,44,46,48,50,52,54,56,58,60,62","Caja,Docena, Media-Docena,Curva,Menor",,,FALSE,/appsheet/data/CASTFERSYSTEMV1-201513855/DOCUMENTOS-PDF/CATALOGO-AGRUPADO/INDUMENTARIA/Joggers.html,5c7dda79
