FECHA,SOURCE_PARAM,TOPIC_HEADER,ALL_HEADERS,URL_PARAMS,RAW_CONTENTS,TIPO,STATUS
05/04/2026 23:57:28,n/a,n/a,{},{},"{""update_id"":672509777,
""message"":{""message_id"":4154,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""pinned_message"":{""message_id"":4153,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""text"":""\ud83d\udea8 [ERROR CR\u00cdTICO]\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\ud83d\udcbb Sistema: CASTFERSYSTEMV1-201513855\n\ud83c\udf10 Entorno: DEV\n\ud83d\udcc5 Fecha: 05/04/2026 00:07:44\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\n\ud83d\udcdd Mensaje:\n\u274c Error en tpv_consolidarVentasJson: No cuentas con el permiso para llamar a DriveApp.getFolderById. Permisos necesarios: (https://www.googleapis.com/auth/drive.readonly || https://www.googleapis.com/auth/drive). Para obtener m\u00e1s informaci\u00f3n, consulta https://developers.google.com/apps-script/guides/support/troubleshooting#authorization-is"",""entities"":[{""offset"":41,""length"":8,""type"":""bold""},{""offset"":79,""length"":8,""type"":""bold""},{""offset"":95,""length"":6,""type"":""bold""},{""offset"":145,""length"":8,""type"":""bold""},{""offset"":277,""length"":46,""type"":""url""},{""offset"":327,""length"":37,""type"":""url""},{""offset"":406,""length"":89,""type"":""url""}],""link_preview_options"":{""url"":""https://www.googleapis.com/auth/drive""}}}}",application/json,RECIBIDO
05/04/2026 23:56:07,n/a,n/a,{},{},"{""update_id"":672509777,
""message"":{""message_id"":4154,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""pinned_message"":{""message_id"":4153,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""text"":""\ud83d\udea8 [ERROR CR\u00cdTICO]\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\ud83d\udcbb Sistema: CASTFERSYSTEMV1-201513855\n\ud83c\udf10 Entorno: DEV\n\ud83d\udcc5 Fecha: 05/04/2026 00:07:44\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\n\ud83d\udcdd Mensaje:\n\u274c Error en tpv_consolidarVentasJson: No cuentas con el permiso para llamar a DriveApp.getFolderById. Permisos necesarios: (https://www.googleapis.com/auth/drive.readonly || https://www.googleapis.com/auth/drive). Para obtener m\u00e1s informaci\u00f3n, consulta https://developers.google.com/apps-script/guides/support/troubleshooting#authorization-is"",""entities"":[{""offset"":41,""length"":8,""type"":""bold""},{""offset"":79,""length"":8,""type"":""bold""},{""offset"":95,""length"":6,""type"":""bold""},{""offset"":145,""length"":8,""type"":""bold""},{""offset"":277,""length"":46,""type"":""url""},{""offset"":327,""length"":37,""type"":""url""},{""offset"":406,""length"":89,""type"":""url""}],""link_preview_options"":{""url"":""https://www.googleapis.com/auth/drive""}}}}",application/json,RECIBIDO
05/04/2026 23:54:45,n/a,n/a,{},{},"{""update_id"":672509777,
""message"":{""message_id"":4154,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""pinned_message"":{""message_id"":4153,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""text"":""\ud83d\udea8 [ERROR CR\u00cdTICO]\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\ud83d\udcbb Sistema: CASTFERSYSTEMV1-201513855\n\ud83c\udf10 Entorno: DEV\n\ud83d\udcc5 Fecha: 05/04/2026 00:07:44\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\n\ud83d\udcdd Mensaje:\n\u274c Error en tpv_consolidarVentasJson: No cuentas con el permiso para llamar a DriveApp.getFolderById. Permisos necesarios: (https://www.googleapis.com/auth/drive.readonly || https://www.googleapis.com/auth/drive). Para obtener m\u00e1s informaci\u00f3n, consulta https://developers.google.com/apps-script/guides/support/troubleshooting#authorization-is"",""entities"":[{""offset"":41,""length"":8,""type"":""bold""},{""offset"":79,""length"":8,""type"":""bold""},{""offset"":95,""length"":6,""type"":""bold""},{""offset"":145,""length"":8,""type"":""bold""},{""offset"":277,""length"":46,""type"":""url""},{""offset"":327,""length"":37,""type"":""url""},{""offset"":406,""length"":89,""type"":""url""}],""link_preview_options"":{""url"":""https://www.googleapis.com/auth/drive""}}}}",application/json,RECIBIDO
05/04/2026 23:53:04,n/a,n/a,{},{},"{""update_id"":672509777,
""message"":{""message_id"":4154,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""pinned_message"":{""message_id"":4153,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""text"":""\ud83d\udea8 [ERROR CR\u00cdTICO]\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\ud83d\udcbb Sistema: CASTFERSYSTEMV1-201513855\n\ud83c\udf10 Entorno: DEV\n\ud83d\udcc5 Fecha: 05/04/2026 00:07:44\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\n\ud83d\udcdd Mensaje:\n\u274c Error en tpv_consolidarVentasJson: No cuentas con el permiso para llamar a DriveApp.getFolderById. Permisos necesarios: (https://www.googleapis.com/auth/drive.readonly || https://www.googleapis.com/auth/drive). Para obtener m\u00e1s informaci\u00f3n, consulta https://developers.google.com/apps-script/guides/support/troubleshooting#authorization-is"",""entities"":[{""offset"":41,""length"":8,""type"":""bold""},{""offset"":79,""length"":8,""type"":""bold""},{""offset"":95,""length"":6,""type"":""bold""},{""offset"":145,""length"":8,""type"":""bold""},{""offset"":277,""length"":46,""type"":""url""},{""offset"":327,""length"":37,""type"":""url""},{""offset"":406,""length"":89,""type"":""url""}],""link_preview_options"":{""url"":""https://www.googleapis.com/auth/drive""}}}}",application/json,RECIBIDO
05/04/2026 23:51:58,n/a,n/a,{},{},"{""update_id"":672509777,
""message"":{""message_id"":4154,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""pinned_message"":{""message_id"":4153,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""text"":""\ud83d\udea8 [ERROR CR\u00cdTICO]\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\ud83d\udcbb Sistema: CASTFERSYSTEMV1-201513855\n\ud83c\udf10 Entorno: DEV\n\ud83d\udcc5 Fecha: 05/04/2026 00:07:44\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\n\ud83d\udcdd Mensaje:\n\u274c Error en tpv_consolidarVentasJson: No cuentas con el permiso para llamar a DriveApp.getFolderById. Permisos necesarios: (https://www.googleapis.com/auth/drive.readonly || https://www.googleapis.com/auth/drive). Para obtener m\u00e1s informaci\u00f3n, consulta https://developers.google.com/apps-script/guides/support/troubleshooting#authorization-is"",""entities"":[{""offset"":41,""length"":8,""type"":""bold""},{""offset"":79,""length"":8,""type"":""bold""},{""offset"":95,""length"":6,""type"":""bold""},{""offset"":145,""length"":8,""type"":""bold""},{""offset"":277,""length"":46,""type"":""url""},{""offset"":327,""length"":37,""type"":""url""},{""offset"":406,""length"":89,""type"":""url""}],""link_preview_options"":{""url"":""https://www.googleapis.com/auth/drive""}}}}",application/json,RECIBIDO
05/04/2026 23:51:21,n/a,n/a,{},{},"{""update_id"":672509777,
""message"":{""message_id"":4154,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""pinned_message"":{""message_id"":4153,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""text"":""\ud83d\udea8 [ERROR CR\u00cdTICO]\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\ud83d\udcbb Sistema: CASTFERSYSTEMV1-201513855\n\ud83c\udf10 Entorno: DEV\n\ud83d\udcc5 Fecha: 05/04/2026 00:07:44\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\n\ud83d\udcdd Mensaje:\n\u274c Error en tpv_consolidarVentasJson: No cuentas con el permiso para llamar a DriveApp.getFolderById. Permisos necesarios: (https://www.googleapis.com/auth/drive.readonly || https://www.googleapis.com/auth/drive). Para obtener m\u00e1s informaci\u00f3n, consulta https://developers.google.com/apps-script/guides/support/troubleshooting#authorization-is"",""entities"":[{""offset"":41,""length"":8,""type"":""bold""},{""offset"":79,""length"":8,""type"":""bold""},{""offset"":95,""length"":6,""type"":""bold""},{""offset"":145,""length"":8,""type"":""bold""},{""offset"":277,""length"":46,""type"":""url""},{""offset"":327,""length"":37,""type"":""url""},{""offset"":406,""length"":89,""type"":""url""}],""link_preview_options"":{""url"":""https://www.googleapis.com/auth/drive""}}}}",application/json,RECIBIDO
05/04/2026 23:50:42,n/a,n/a,{},{},"{""update_id"":672509777,
""message"":{""message_id"":4154,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""pinned_message"":{""message_id"":4153,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""text"":""\ud83d\udea8 [ERROR CR\u00cdTICO]\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\ud83d\udcbb Sistema: CASTFERSYSTEMV1-201513855\n\ud83c\udf10 Entorno: DEV\n\ud83d\udcc5 Fecha: 05/04/2026 00:07:44\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\n\ud83d\udcdd Mensaje:\n\u274c Error en tpv_consolidarVentasJson: No cuentas con el permiso para llamar a DriveApp.getFolderById. Permisos necesarios: (https://www.googleapis.com/auth/drive.readonly || https://www.googleapis.com/auth/drive). Para obtener m\u00e1s informaci\u00f3n, consulta https://developers.google.com/apps-script/guides/support/troubleshooting#authorization-is"",""entities"":[{""offset"":41,""length"":8,""type"":""bold""},{""offset"":79,""length"":8,""type"":""bold""},{""offset"":95,""length"":6,""type"":""bold""},{""offset"":145,""length"":8,""type"":""bold""},{""offset"":277,""length"":46,""type"":""url""},{""offset"":327,""length"":37,""type"":""url""},{""offset"":406,""length"":89,""type"":""url""}],""link_preview_options"":{""url"":""https://www.googleapis.com/auth/drive""}}}}",application/json,RECIBIDO
05/04/2026 23:50:31,n/a,n/a,{},{},"{""update_id"":672509777,
""message"":{""message_id"":4154,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""pinned_message"":{""message_id"":4153,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""text"":""\ud83d\udea8 [ERROR CR\u00cdTICO]\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\ud83d\udcbb Sistema: CASTFERSYSTEMV1-201513855\n\ud83c\udf10 Entorno: DEV\n\ud83d\udcc5 Fecha: 05/04/2026 00:07:44\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\n\ud83d\udcdd Mensaje:\n\u274c Error en tpv_consolidarVentasJson: No cuentas con el permiso para llamar a DriveApp.getFolderById. Permisos necesarios: (https://www.googleapis.com/auth/drive.readonly || https://www.googleapis.com/auth/drive). Para obtener m\u00e1s informaci\u00f3n, consulta https://developers.google.com/apps-script/guides/support/troubleshooting#authorization-is"",""entities"":[{""offset"":41,""length"":8,""type"":""bold""},{""offset"":79,""length"":8,""type"":""bold""},{""offset"":95,""length"":6,""type"":""bold""},{""offset"":145,""length"":8,""type"":""bold""},{""offset"":277,""length"":46,""type"":""url""},{""offset"":327,""length"":37,""type"":""url""},{""offset"":406,""length"":89,""type"":""url""}],""link_preview_options"":{""url"":""https://www.googleapis.com/auth/drive""}}}}",application/json,RECIBIDO
05/04/2026 23:50:04,n/a,n/a,{},{},"{""update_id"":672509777,
""message"":{""message_id"":4154,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""pinned_message"":{""message_id"":4153,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""text"":""\ud83d\udea8 [ERROR CR\u00cdTICO]\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\ud83d\udcbb Sistema: CASTFERSYSTEMV1-201513855\n\ud83c\udf10 Entorno: DEV\n\ud83d\udcc5 Fecha: 05/04/2026 00:07:44\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\n\ud83d\udcdd Mensaje:\n\u274c Error en tpv_consolidarVentasJson: No cuentas con el permiso para llamar a DriveApp.getFolderById. Permisos necesarios: (https://www.googleapis.com/auth/drive.readonly || https://www.googleapis.com/auth/drive). Para obtener m\u00e1s informaci\u00f3n, consulta https://developers.google.com/apps-script/guides/support/troubleshooting#authorization-is"",""entities"":[{""offset"":41,""length"":8,""type"":""bold""},{""offset"":79,""length"":8,""type"":""bold""},{""offset"":95,""length"":6,""type"":""bold""},{""offset"":145,""length"":8,""type"":""bold""},{""offset"":277,""length"":46,""type"":""url""},{""offset"":327,""length"":37,""type"":""url""},{""offset"":406,""length"":89,""type"":""url""}],""link_preview_options"":{""url"":""https://www.googleapis.com/auth/drive""}}}}",application/json,RECIBIDO
05/04/2026 23:49:59,n/a,n/a,{},{},"{""update_id"":672509777,
""message"":{""message_id"":4154,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""pinned_message"":{""message_id"":4153,""from"":{""id"":7896687871,""is_bot"":true,""first_name"":""CASTFER_BOT"",""username"":""CASTFERP_BOT""},""chat"":{""id"":8638123173,""first_name"":""CASTFER"",""type"":""private""},""date"":1775358464,""text"":""\ud83d\udea8 [ERROR CR\u00cdTICO]\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\ud83d\udcbb Sistema: CASTFERSYSTEMV1-201513855\n\ud83c\udf10 Entorno: DEV\n\ud83d\udcc5 Fecha: 05/04/2026 00:07:44\n\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\u2501\n\n\ud83d\udcdd Mensaje:\n\u274c Error en tpv_consolidarVentasJson: No cuentas con el permiso para llamar a DriveApp.getFolderById. Permisos necesarios: (https://www.googleapis.com/auth/drive.readonly || https://www.googleapis.com/auth/drive). Para obtener m\u00e1s informaci\u00f3n, consulta https://developers.google.com/apps-script/guides/support/troubleshooting#authorization-is"",""entities"":[{""offset"":41,""length"":8,""type"":""bold""},{""offset"":79,""length"":8,""type"":""bold""},{""offset"":95,""length"":6,""type"":""bold""},{""offset"":145,""length"":8,""type"":""bold""},{""offset"":277,""length"":46,""type"":""url""},{""offset"":327,""length"":37,""type"":""url""},{""offset"":406,""length"":89,""type"":""url""}],""link_preview_options"":{""url"":""https://www.googleapis.com/auth/drive""}}}}",application/json,RECIBIDO
